set 1, - map[3:206 34:1448]
set 2, - map[5:302 34:2769]
set 3, - map[33:368 34:3320]
set 4, - map[33:399 34:3556]
set 5, - map[6:470 34:3992]
set 6, - map[33:506 34:4131]
set 7, - map[33:461 34:4087]
set 8, - map[33:496 34:4013]
set 9, - map[33:504 34:3710]
set 10, - map[33:492 34:3621]
set 11, - map[33:486 34:3517]
set 12, - map[33:503 34:3541]
set 13, - map[33:525 34:3688]
set 14, - map[33:518 34:3547]
set 15, - map[33:388 34:2799]
set 16, - map[33:464 34:3178]
set 17, - map[33:434 34:2983]
set 18, - map[33:466 34:2890]
set 19, - map[33:410 34:2491]
set 20, - map[31:427 34:3070]
set 21, - map[24:575 34:3358]
set 22, - map[33:383 34:2254]
set 23, - map[33:495 34:2872]
set 24, - map[21:575 34:3079]
set 25, - map[30:505 34:3054]
set 26, - map[25:380 34:2340]
set 27, - map[30:439 34:2688]
set 28, - map[33:547 34:3154]
set 29, - map[33:535 34:2879]
set 30, - map[31:594 34:3516]
set 31, - map[33:662 34:4296]
set 32, - map[31:302 33:314 34:1686]
set 33, - map[31:662 34:3511]
set 34, - map[6:4131 31:4296]
